case_id,repository,pr_number,language,code_changed_files,code_diff_excerpt,docs_before_excerpt,docs_before_retrieved_files,doc_context_01_path,doc_context_01_excerpt,doc_context_02_path,doc_context_02_excerpt,doc_context_03_path,doc_context_03_excerpt,doc_context_04_path,doc_context_04_excerpt,doc_context_05_path,doc_context_05_excerpt,doc_context_06_path,doc_context_06_excerpt,doc_context_07_path,doc_context_07_excerpt,doc_context_08_path,doc_context_08_excerpt,doc_context_09_path,doc_context_09_excerpt,doc_context_10_path,doc_context_10_excerpt,doc_context_11_path,doc_context_11_excerpt,doc_context_12_path,doc_context_12_excerpt,suggested_docs_update_required,suggested_doc_category,suggested_notes,human_docs_update_required,human_doc_category,human_label_notes,review_status,review_row_hash,review_context_hash
synthetic:pallets/flask:configuration:1,pallets/flask,900026,python,"[""src/flask/app.py""]","diff --git a/src/flask/app.py b/src/flask/app.py
index 6203586..36c2c07 100644
--- a/src/flask/app.py
+++ b/src/flask/app.py
@@ -301,7 +301,7 @@ class Flask(App):
                 warnings.warn(
                     f""The '{method.__name__}' method now takes 'ctx: AppContext'""
                     "" as the first parameter. The old signature is deprecated""
-                    "" and will not be supported in Flask 4.0."",
+                    "" and will not be supported in Flask 6.0."",
                     DeprecationWarning,
                     stacklevel=2,
                 )","Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
","[""docs/config.rst""]",docs/config.rst,"Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,6ba446c133f4179b24844bf814e5500d96c8ac120432b8f5631e83df50ad94e2,5a7470fc88f342a206339eac440a3e7d3c09c3ddb84c4fb9d1d153c56ed9ad6d
synthetic:pallets/flask:configuration:2,pallets/flask,900027,python,"[""src/flask/app.py""]","diff --git a/src/flask/app.py b/src/flask/app.py
index 6203586..664f501 100644
--- a/src/flask/app.py
+++ b/src/flask/app.py
@@ -301,7 +301,7 @@ class Flask(App):
                 warnings.warn(
                     f""The '{method.__name__}' method now takes 'ctx: AppContext'""
                     "" as the first parameter. The old signature is deprecated""
-                    "" and will not be supported in Flask 4.0."",
+                    "" and will not be supported in Flask 7.0."",
                     DeprecationWarning,
                     stacklevel=2,
                 )","Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
","[""docs/config.rst""]",docs/config.rst,"Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,309a88e78ef69f7b8a2f312905fa6a50f01c1f4fd5826a9b849b104893320605,5a7470fc88f342a206339eac440a3e7d3c09c3ddb84c4fb9d1d153c56ed9ad6d
synthetic:pallets/flask:configuration:3,pallets/flask,900028,python,"[""src/flask/app.py""]","diff --git a/src/flask/app.py b/src/flask/app.py
index 6203586..e202b26 100644
--- a/src/flask/app.py
+++ b/src/flask/app.py
@@ -301,7 +301,7 @@ class Flask(App):
                 warnings.warn(
                     f""The '{method.__name__}' method now takes 'ctx: AppContext'""
                     "" as the first parameter. The old signature is deprecated""
-                    "" and will not be supported in Flask 4.0."",
+                    "" and will not be supported in Flask 8.0."",
                     DeprecationWarning,
                     stacklevel=2,
                 )","Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
","[""docs/config.rst""]",docs/config.rst,"Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,5ee801ee23429f4a739e9ab45e2e2c4b822e1283184b13689b52d3d17255287f,5a7470fc88f342a206339eac440a3e7d3c09c3ddb84c4fb9d1d153c56ed9ad6d
synthetic:pallets/flask:configuration:4,pallets/flask,900029,python,"[""src/flask/app.py""]","diff --git a/src/flask/app.py b/src/flask/app.py
index 6203586..362cf1b 100644
--- a/src/flask/app.py
+++ b/src/flask/app.py
@@ -301,7 +301,7 @@ class Flask(App):
                 warnings.warn(
                     f""The '{method.__name__}' method now takes 'ctx: AppContext'""
                     "" as the first parameter. The old signature is deprecated""
-                    "" and will not be supported in Flask 4.0."",
+                    "" and will not be supported in Flask 5.0."",
                     DeprecationWarning,
                     stacklevel=2,
                 )","Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
","[""docs/config.rst""]",docs/config.rst,"Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,00d10189c6d1f3413e7ec91017347028a757bae5a0b496f788841c6efcb692de,5a7470fc88f342a206339eac440a3e7d3c09c3ddb84c4fb9d1d153c56ed9ad6d
synthetic:pallets/flask:configuration:5,pallets/flask,900030,python,"[""src/flask/app.py""]","diff --git a/src/flask/app.py b/src/flask/app.py
index 6203586..36c2c07 100644
--- a/src/flask/app.py
+++ b/src/flask/app.py
@@ -301,7 +301,7 @@ class Flask(App):
                 warnings.warn(
                     f""The '{method.__name__}' method now takes 'ctx: AppContext'""
                     "" as the first parameter. The old signature is deprecated""
-                    "" and will not be supported in Flask 4.0."",
+                    "" and will not be supported in Flask 6.0."",
                     DeprecationWarning,
                     stacklevel=2,
                 )","Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
","[""docs/config.rst""]",docs/config.rst,"Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,1141d5bf30dd83a30b88d79c3328a4cbf02d38988a1a88cc3ce8fc87a127b0ff,5a7470fc88f342a206339eac440a3e7d3c09c3ddb84c4fb9d1d153c56ed9ad6d
synthetic:pallets/flask:configuration:6,pallets/flask,900031,python,"[""src/flask/app.py""]","diff --git a/src/flask/app.py b/src/flask/app.py
index 6203586..664f501 100644
--- a/src/flask/app.py
+++ b/src/flask/app.py
@@ -301,7 +301,7 @@ class Flask(App):
                 warnings.warn(
                     f""The '{method.__name__}' method now takes 'ctx: AppContext'""
                     "" as the first parameter. The old signature is deprecated""
-                    "" and will not be supported in Flask 4.0."",
+                    "" and will not be supported in Flask 7.0."",
                     DeprecationWarning,
                     stacklevel=2,
                 )","Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
","[""docs/config.rst""]",docs/config.rst,"Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,1d4744a91ca2391b71408986b053815ad24024580e309c098d86372e949df074,5a7470fc88f342a206339eac440a3e7d3c09c3ddb84c4fb9d1d153c56ed9ad6d
synthetic:pallets/flask:configuration:7,pallets/flask,900032,python,"[""src/flask/app.py""]","diff --git a/src/flask/app.py b/src/flask/app.py
index 6203586..e202b26 100644
--- a/src/flask/app.py
+++ b/src/flask/app.py
@@ -301,7 +301,7 @@ class Flask(App):
                 warnings.warn(
                     f""The '{method.__name__}' method now takes 'ctx: AppContext'""
                     "" as the first parameter. The old signature is deprecated""
-                    "" and will not be supported in Flask 4.0."",
+                    "" and will not be supported in Flask 8.0."",
                     DeprecationWarning,
                     stacklevel=2,
                 )","Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
","[""docs/config.rst""]",docs/config.rst,"Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,82991af6516758d5627d34c4a9a9978cef26deb1ed635f877d53af28a543bd46,5a7470fc88f342a206339eac440a3e7d3c09c3ddb84c4fb9d1d153c56ed9ad6d
synthetic:pallets/flask:configuration:8,pallets/flask,900033,python,"[""src/flask/app.py""]","diff --git a/src/flask/app.py b/src/flask/app.py
index 6203586..362cf1b 100644
--- a/src/flask/app.py
+++ b/src/flask/app.py
@@ -301,7 +301,7 @@ class Flask(App):
                 warnings.warn(
                     f""The '{method.__name__}' method now takes 'ctx: AppContext'""
                     "" as the first parameter. The old signature is deprecated""
-                    "" and will not be supported in Flask 4.0."",
+                    "" and will not be supported in Flask 5.0."",
                     DeprecationWarning,
                     stacklevel=2,
                 )","Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
","[""docs/config.rst""]",docs/config.rst,"Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,fe06835df0a5ce87f69acd2d948368c125044c3405544d527d08d11237e82c58,5a7470fc88f342a206339eac440a3e7d3c09c3ddb84c4fb9d1d153c56ed9ad6d
synthetic:pallets/flask:configuration:9,pallets/flask,900034,python,"[""src/flask/app.py""]","diff --git a/src/flask/app.py b/src/flask/app.py
index 6203586..36c2c07 100644
--- a/src/flask/app.py
+++ b/src/flask/app.py
@@ -301,7 +301,7 @@ class Flask(App):
                 warnings.warn(
                     f""The '{method.__name__}' method now takes 'ctx: AppContext'""
                     "" as the first parameter. The old signature is deprecated""
-                    "" and will not be supported in Flask 4.0."",
+                    "" and will not be supported in Flask 6.0."",
                     DeprecationWarning,
                     stacklevel=2,
                 )","Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
","[""docs/config.rst""]",docs/config.rst,"Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,a1356041fd3c3d2b4077b814102a14e795806d8eb54d150b78907a5b73c616db,5a7470fc88f342a206339eac440a3e7d3c09c3ddb84c4fb9d1d153c56ed9ad6d
synthetic:pallets/flask:configuration:10,pallets/flask,900035,python,"[""src/flask/app.py""]","diff --git a/src/flask/app.py b/src/flask/app.py
index 6203586..664f501 100644
--- a/src/flask/app.py
+++ b/src/flask/app.py
@@ -301,7 +301,7 @@ class Flask(App):
                 warnings.warn(
                     f""The '{method.__name__}' method now takes 'ctx: AppContext'""
                     "" as the first parameter. The old signature is deprecated""
-                    "" and will not be supported in Flask 4.0."",
+                    "" and will not be supported in Flask 7.0."",
                     DeprecationWarning,
                     stacklevel=2,
                 )","Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
","[""docs/config.rst""]",docs/config.rst,"Configuration Handling
======================

Applications need some kind of configuration.  There are different settings
you might want to change depending on the application environment like
toggling the debug mode, setting the secret key, and other such
environment-specific things.

The way Flask is designed usually requires the configuration to be
available when the application starts up.  You can hard code the
configuration in the code, which for many small applications is not
actually that bad, but there are better ways.

Independent of how you load your config, there is a config object
available which holds the loaded configuration values:
The :attr:`~flask.Flask.config` attribute of the :class:`~flask.Flask`
object.  This is the place where Flask itself puts certain configuration
values and also where extensions can put their configuration values.  But
this is also where you can have your own configuration.


Configuration Basics
--------------------
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,bae68402f3115a87ec2abbb41945fcbeace4617184ff6902df68da7f52081226,5a7470fc88f342a206339eac440a3e7d3c09c3ddb84c4fb9d1d153c56ed9ad6d
